station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHN,P,2018.05.07 20:55:41.8125,-17.4815,e,?,2.78189,161.252
UD02,UD,HHZ,S,2018.05.07 20:55:42.9879,-256.192,e,?,2.78189,161.252
UD01,UD,HHE,S,2018.05.07 20:55:43.9902,-83.326,e,?,6.07296,322.774
UD01,UD,HHZ,P,2018.05.07 20:55:42.4188,44.9223,e,?,6.07296,322.774
UD03,UD,HHN,P,2018.05.07 20:55:43.0869,-10.7881,e,?,8.97824,91.6723
UD04,UD,HHE,S,2018.05.07 20:55:45.3207,-61.7772,e,?,10.8832,36.2761
UD04,UD,HHN,P,2018.05.07 20:55:43.3848,43.227,e,?,10.8832,36.2761
