station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHN,S,2018.05.15 07:40:28.5437,856.414,e,?,5.08521,356.714
UD02,UD,HHZ,P,2018.05.15 07:40:26.5835,-94.1806,e,?,5.08521,356.714
UD03,UD,HHZ,P,2018.05.15 07:40:27.1527,-23.5804,e,?,10.7765,46.2878
UD01,UD,HHN,S,2018.05.15 07:40:30.2911,51.7868,e,?,13.4554,338.838
UD01,UD,HHZ,P,2018.05.15 07:40:27.4394,-8.12175,e,?,13.4554,338.838
UD04,UD,HHN,S,2018.05.15 07:40:31.0080,-348.499,e,?,17.3014,17.6884
UD04,UD,HHZ,P,2018.05.15 07:40:27.9177,93.2855,e,?,17.3014,17.6884
