station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHZ,P,2018.05.15 06:48:1.4832,7.52139,e,?,6.4733,35.6198
UD02,UD,HHE,S,2018.05.15 06:48:3.1389,362.308,e,?,6.4733,35.6198
UD01,UD,HHZ,P,2018.05.15 06:48:2.2983,-30.6697,e,?,12.7544,356.391
UD01,UD,HHN,S,2018.05.15 06:48:4.5400,-245.705,e,?,12.7544,356.391
UD03,UD,HHZ,P,2018.05.15 06:48:2.4002,12.0531,e,?,14.0982,57.1874
UD04,UD,HHE,S,2018.05.15 06:48:6.3612,202.387,e,?,19.0959,29.1715
UD04,UD,HHZ,P,2018.05.15 06:48:3.1898,3.33326,e,?,19.0959,29.1715
