station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHZ,P,2018.05.19 23:41:1.7496,12.3256,e,?,4.22423,182.507
UD02,UD,HHN,S,2018.05.19 23:41:3.3861,55.4099,e,?,4.22423,182.507
UD01,UD,HHZ,P,2018.05.19 23:41:1.8739,33.9216,e,?,5.7567,304.382
UD04,UD,HHN,S,2018.05.19 23:41:4.4426,-80.7534,e,?,8.9672,36.7337
UD04,UD,HHZ,P,2018.05.19 23:41:2.0810,-59.7951,e,?,8.9672,36.7337
