station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHE,S,2018.05.13 14:59:57.7400,75.9421,e,?,2.60906,168.119
UD02,UD,HHZ,P,2018.05.13 14:59:56.0652,117.493,e,?,2.60906,168.119
UD01,UD,HHE,S,2018.05.13 14:59:58.3253,112.67,e,?,6.35773,320.661
UD01,UD,HHZ,P,2018.05.13 14:59:56.3416,-5.50827,e,?,6.35773,320.661
UD03,UD,HHZ,P,2018.05.13 14:59:56.6018,-50.7457,e,?,8.61958,91.2069
UD04,UD,HHE,S,2018.05.13 14:59:59.1708,-60.8161,e,?,10.7428,34.4905
UD04,UD,HHZ,P,2018.05.13 14:59:56.8619,14.8081,e,?,10.7428,34.4905
