station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHZ,P,2018.05.16 01:36:10.6573,74.4725,e,?,2.71098,142.424
UD02,UD,HHN,S,2018.05.16 01:36:12.4391,-1769.19,e,?,2.71098,142.424
UD01,UD,HHZ,P,2018.05.16 01:36:11.0212,-131.54,e,?,6.06729,331.274
UD01,UD,HHN,S,2018.05.16 01:36:12.9410,-296.043,e,?,6.06729,331.274
UD03,UD,HHZ,P,2018.05.16 01:36:11.4101,31.8077,e,?,9.73569,88.6751
UD04,UD,HHN,S,2018.05.16 01:36:13.9700,-79.2522,e,?,11.728,37.8513
UD04,UD,HHZ,P,2018.05.16 01:36:11.5858,63.4129,e,?,11.728,37.8513
