station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHE,S,2018.05.13 15:02:15.3043,-986.344,e,?,2.66425,146.13
UD02,UD,HHZ,P,2018.05.13 15:02:13.5863,162.285,e,?,2.66425,146.13
UD01,UD,HHE,S,2018.05.13 15:02:15.8277,1609.83,e,?,6.09508,329.602
UD01,UD,HHZ,P,2018.05.13 15:02:13.9084,-87.6933,e,?,6.09508,329.602
UD03,UD,HHZ,P,2018.05.13 15:02:14.1500,29.5745,e,?,9.56615,89.0343
UD04,UD,HHN,S,2018.05.13 15:02:16.9015,5125.36,e,?,11.5749,37.3886
UD04,UD,HHZ,P,2018.05.13 15:02:14.3916,80.0389,e,?,11.5749,37.3886
