station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHZ,P,2018.05.10 00:46:24.6106,-63.0139,e,?,1.40963,262.131
UD02,UD,HHN,S,2018.05.10 00:46:26.9090,143.697,e,?,1.40963,262.131
UD03,UD,HHN,S,2018.05.10 00:46:27.5611,-131.842,e,?,7.03013,71.9776
UD03,UD,HHZ,P,2018.05.10 00:46:24.8878,10.7475,e,?,7.03013,71.9776
UD04,UD,HHZ,P,2018.05.10 00:46:25.1649,-105.552,e,?,11.9573,20.3331
UD01,UD,HHN,S,2018.05.10 00:46:27.6426,-74.5591,e,?,9.40825,320.689
UD01,UD,HHZ,P,2018.05.10 00:46:25.3582,-51.2948,e,?,9.40825,320.689
