station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHE,S,2018.05.15 10:33:5.9796,894.95,e,?,5.07929,16.1911
UD02,UD,HHZ,P,2018.05.15 10:33:3.7161,-23.3042,e,?,5.07929,16.1911
UD03,UD,HHZ,P,2018.05.15 10:33:4.2744,-15.9138,e,?,11.9482,52.6359
UD01,UD,HHZ,P,2018.05.15 10:33:4.4404,-25.8721,e,?,12.7433,345.677
UD01,UD,HHE,S,2018.05.15 10:33:7.1665,388.46,e,?,12.7433,345.677
UD04,UD,HHN,S,2018.05.15 10:33:8.2431,-38.1648,e,?,17.7115,23.1398
UD04,UD,HHZ,P,2018.05.15 10:33:5.0138,25.3127,e,?,17.7115,23.1398
