station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHZ,P,2018.05.14 10:59:21.3094,95.5611,e,?,5.53489,86.9639
UD02,UD,HHN,S,2018.05.14 10:59:23.5626,-1283.55,e,?,5.53489,86.9639
UD01,UD,HHZ,P,2018.05.14 10:59:21.4492,21.6891,e,?,7.81635,6.99012
UD01,UD,HHN,S,2018.05.14 10:59:24.1531,789.176,e,?,7.81635,6.99012
UD03,UD,HHN,S,2018.05.14 10:59:25.0855,82.3775,e,?,13.8652,78.8805
UD03,UD,HHZ,P,2018.05.14 10:59:21.9310,-93.5502,e,?,13.8652,78.8805
UD04,UD,HHN,S,2018.05.14 10:59:25.3807,-1706.2,e,?,16.1055,43.3726
UD04,UD,HHZ,P,2018.05.14 10:59:21.9620,-474.024,e,?,16.1055,43.3726
