station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHZ,P,2018.05.15 09:43:10.9351,-117.791,e,?,1.97937,175.785
UD02,UD,HHN,S,2018.05.15 09:43:12.6313,10.8074,e,?,1.97937,175.785
UD01,UD,HHZ,P,2018.05.15 09:43:11.4356,50.993,e,?,7.05415,321.189
UD01,UD,HHN,S,2018.05.15 09:43:13.4377,-143.7,e,?,7.05415,321.189
UD03,UD,HHZ,P,2018.05.15 09:43:11.5469,1.0905,e,?,8.23575,87.2379
UD04,UD,HHN,S,2018.05.15 09:43:14.0634,8.94126,e,?,11.0177,31.11
UD04,UD,HHZ,P,2018.05.15 09:43:11.7693,-11.356,e,?,11.0177,31.11
