station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHN,S,2018.05.14 14:41:17.0842,71.1672,e,?,2.64594,120.317
UD02,UD,HHZ,P,2018.05.14 14:41:15.4838,-1.68764,e,?,2.64594,120.317
UD01,UD,HHZ,P,2018.05.14 14:41:15.8839,52.8972,e,?,6.54514,339.555
UD01,UD,HHE,S,2018.05.14 14:41:17.7884,-28.5221,e,?,6.54514,339.555
UD03,UD,HHN,S,2018.05.14 14:41:18.6527,-1.32974,e,?,10.4156,84.2738
UD03,UD,HHZ,P,2018.05.14 14:41:16.1240,24.4029,e,?,10.4156,84.2738
UD04,UD,HHN,S,2018.05.14 14:41:18.8138,25.3014,e,?,12.7566,37.8403
UD04,UD,HHZ,P,2018.05.14 14:41:16.4761,-126.592,e,?,12.7566,37.8403
