station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHZ,P,2018.05.05 14:03:18.6271,13.0511,e,?,3.52398,44.0035
UD02,UD,HHN,S,2018.05.05 14:03:20.6198,29.9461,e,?,3.52398,44.0035
UD01,UD,HHZ,P,2018.05.05 14:03:19.2542,4.10892,e,?,10.2258,348.02
UD01,UD,HHN,S,2018.05.05 14:03:21.7527,338.171,e,?,10.2258,348.02
UD03,UD,HHZ,P,2018.05.05 14:03:19.4363,270.058,e,?,11.6163,64.9962
UD04,UD,HHE,S,2018.05.05 14:03:22.9463,24.872,e,?,16.0713,29.8093
UD04,UD,HHZ,P,2018.05.05 14:03:19.8813,-53.727,e,?,16.0713,29.8093
