station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHZ,P,2018.05.13 14:56:22.4485,146.567,e,?,2.52209,150.531
UD02,UD,HHE,S,2018.05.13 14:56:24.1162,-276.295,e,?,2.52209,150.531
UD01,UD,HHE,S,2018.05.13 14:56:24.6875,480.449,e,?,6.23596,327.748
UD01,UD,HHZ,P,2018.05.13 14:56:22.7419,1.32567,e,?,6.23596,327.748
UD03,UD,HHZ,P,2018.05.13 14:56:22.9581,117.331,e,?,9.32255,88.9113
UD04,UD,HHE,S,2018.05.13 14:56:25.8302,-88.6554,e,?,11.4417,36.3713
UD04,UD,HHZ,P,2018.05.13 14:56:23.2206,38.8267,e,?,11.4417,36.3713
