station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHE,S,2018.05.11 00:04:44.0098,267.838,e,?,4.55316,188.199
UD02,UD,HHZ,P,2018.05.11 00:04:42.1716,-87.1156,e,?,4.55316,188.199
UD01,UD,HHE,S,2018.05.11 00:04:44.3126,65.8255,e,?,5.99862,299.622
UD01,UD,HHZ,P,2018.05.11 00:04:42.4744,-47.2414,e,?,5.99862,299.622
UD03,UD,HHZ,P,2018.05.11 00:04:42.6906,-53.4508,e,?,7.73302,106.044
UD04,UD,HHE,S,2018.05.11 00:04:44.5073,-572.569,e,?,8.46242,35.3819
UD04,UD,HHZ,P,2018.05.11 00:04:42.7447,33.77,e,?,8.46242,35.3819
