station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHZ,P,2018.05.11 07:40:4.2769,17.0479,e,?,2.81544,145.2
UD02,UD,HHN,S,2018.05.11 07:40:6.4745,-77.8161,e,?,2.81544,145.2
UD01,UD,HHE,S,2018.05.11 07:40:6.9726,81.7222,e,?,5.94755,330.127
UD01,UD,HHZ,P,2018.05.11 07:40:4.5113,-42.2958,e,?,5.94755,330.127
UD04,UD,HHZ,P,2018.05.11 07:40:4.7458,72.695,e,?,11.5707,38.1669
UD04,UD,HHN,S,2018.05.11 07:40:7.8077,-797.43,e,?,11.5707,38.1669
UD03,UD,HHZ,P,2018.05.11 07:40:4.7897,-17.6919,e,?,9.68693,89.6351
