station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHN,S,2018.05.14 14:39:25.0402,-1011.7,e,?,4.57441,6.17993
UD02,UD,HHZ,P,2018.05.14 14:39:22.8660,-79.654,e,?,4.57441,6.17993
UD03,UD,HHN,S,2018.05.14 14:39:26.1274,-73.2393,e,?,11.017,51.0925
UD03,UD,HHZ,P,2018.05.14 14:39:23.2567,245.114,e,?,11.017,51.0925
UD01,UD,HHN,S,2018.05.14 14:39:26.3822,-40.5522,e,?,12.6902,341.27
UD01,UD,HHZ,P,2018.05.14 14:39:23.5454,-46.735,e,?,12.6902,341.27
UD04,UD,HHN,S,2018.05.14 14:39:27.2654,-225.309,e,?,17.0599,20.7305
UD04,UD,HHZ,P,2018.05.14 14:39:24.0550,-105.322,e,?,17.0599,20.7305
