station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHN,S,2018.05.19 06:58:35.6319,-170.998,e,?,3.82327,1.65105
UD03,UD,HHZ,P,2018.05.19 06:58:34.1180,-98.1076,e,?,10.2683,52.9099
UD03,UD,HHE,S,2018.05.19 06:58:36.8020,-696.005,e,?,10.2683,52.9099
UD01,UD,HHZ,P,2018.05.19 06:58:34.4563,96.492,e,?,12.14,338.464
UD01,UD,HHE,S,2018.05.19 06:58:36.9936,-104.357,e,?,12.14,338.464
UD04,UD,HHN,S,2018.05.19 06:58:37.9071,-2.50779,e,?,16.2457,20.3799
UD04,UD,HHZ,P,2018.05.19 06:58:34.8115,102.786,e,?,16.2457,20.3799
