station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHN,S,2018.05.14 14:42:10.7007,-1735.15,e,?,2.72349,144.138
UD02,UD,HHZ,P,2018.05.14 14:42:8.9446,-22.4824,e,?,2.72349,144.138
UD01,UD,HHZ,P,2018.05.14 14:42:9.2739,-4.71387,e,?,6.04412,330.529
UD01,UD,HHE,S,2018.05.14 14:42:11.2358,-332.401,e,?,6.04412,330.529
UD03,UD,HHZ,P,2018.05.14 14:42:9.7129,103.982,e,?,9.67689,89.0148
UD04,UD,HHN,S,2018.05.14 14:42:12.1962,-138.476,e,?,11.6463,37.8051
UD04,UD,HHZ,P,2018.05.14 14:42:9.8638,58.4348,e,?,11.6463,37.8051
