station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD03,UD,HHZ,P,2018.05.11 07:36:9.4738,-24.5822,e,?,7.4297,251.046
UD04,UD,HHE,S,2018.05.11 07:36:12.4599,-30.2089,e,?,11.6094,304.837
UD04,UD,HHZ,P,2018.05.11 07:36:9.9515,2.80434,e,?,11.6094,304.837
UD02,UD,HHZ,P,2018.05.11 07:36:10.5965,3.38978,e,?,15.8463,252.535
UD02,UD,HHE,S,2018.05.11 07:36:13.2960,-142.053,e,?,15.8463,252.535
