station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHN,P,2018.05.07 13:33:15.7973,-147.119,e,?,4.32088,36.0789
UD02,UD,HHE,S,2018.05.07 13:33:17.6874,92.555,e,?,4.32088,36.0789
UD01,UD,HHE,S,2018.05.07 13:33:18.9929,-76.6471,e,?,11.1461,349.526
UD01,UD,HHN,P,2018.05.07 13:33:16.4793,-4.61772,e,?,11.1461,349.526
UD03,UD,HHN,S,2018.05.07 13:33:19.1488,35.456,e,?,12.1366,61.0887
UD04,UD,HHE,S,2018.05.07 13:33:20.1231,-38.8362,e,?,16.9545,28.4828
UD04,UD,HHN,P,2018.05.07 13:33:17.2002,-65.934,e,?,16.9545,28.4828
