station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHZ,P,2018.05.19 07:05:47.5792,117.727,e,?,4.76261,195.925
UD02,UD,HHE,S,2018.05.19 07:05:49.5828,-120.643,e,?,4.76261,195.925
UD01,UD,HHZ,P,2018.05.19 07:05:47.7449,-36.3763,e,?,6.54478,296.228
UD01,UD,HHE,S,2018.05.19 07:05:49.9745,-147.194,e,?,6.54478,296.228
UD04,UD,HHN,S,2018.05.19 07:05:50.1402,-140.803,e,?,8.03744,31.8744
UD04,UD,HHZ,P,2018.05.19 07:05:47.9257,-26.3053,e,?,8.03744,31.8744
