station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHE,P,2018.05.13 14:57:13.0361,185.95,e,?,2.75494,156.58
UD02,UD,HHZ,S,2018.05.13 14:57:14.6726,761.538,e,?,2.75494,156.58
UD01,UD,HHE,S,2018.05.13 14:57:15.2635,306.357,e,?,6.04027,324.898
UD01,UD,HHZ,P,2018.05.13 14:57:13.3088,-50.9044,e,?,6.04027,324.898
UD03,UD,HHZ,P,2018.05.13 14:57:13.5512,34.9631,e,?,9.1765,90.9699
UD04,UD,HHE,S,2018.05.13 14:57:16.2787,350.935,e,?,11.0881,36.7849
UD04,UD,HHZ,P,2018.05.13 14:57:13.8240,60.4786,e,?,11.0881,36.7849
