station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHZ,P,2018.05.16 00:07:15.1685,-44.9218,e,?,8.07634,45.5955
UD02,UD,HHE,S,2018.05.16 00:07:16.5324,30.6484,e,?,8.07634,45.5955
UD01,UD,HHE,S,2018.05.16 00:07:18.5322,-237.126,e,?,13.1702,5.1997
UD01,UD,HHZ,P,2018.05.16 00:07:16.1124,95.9364,e,?,13.1702,5.1997
UD03,UD,HHN,S,2018.05.16 00:07:19.7557,-75.1688,e,?,16.0086,59.8836
UD03,UD,HHZ,P,2018.05.16 00:07:16.6468,11.1926,e,?,16.0086,59.8836
UD04,UD,HHN,S,2018.05.16 00:07:20.9815,-110.395,e,?,20.4688,33.5164
UD04,UD,HHZ,P,2018.05.16 00:07:17.4054,9.30323,e,?,20.4688,33.5164
