station,network,channel,Phase,Time,Level,Quality,Sign,Distance,Azimuth
UD02,UD,HHZ,P,2018.05.15 05:05:14.9310,-3.18329,e,?,1.55998,140.151
UD02,UD,HHN,S,2018.05.15 05:05:16.3070,-102.222,e,?,1.55998,140.151
UD01,UD,HHZ,P,2018.05.15 05:05:15.5597,-66.5038,e,?,7.2163,330.362
UD01,UD,HHN,S,2018.05.15 05:05:17.3510,-214.917,e,?,7.2163,330.362
UD03,UD,HHZ,P,2018.05.15 05:05:15.9512,48.3434,e,?,9.15553,82.6276
UD04,UD,HHE,S,2018.05.15 05:05:18.3830,-85.4271,e,?,12.1279,32.6582
UD04,UD,HHZ,P,2018.05.15 05:05:16.1291,7.07675,e,?,12.1279,32.6582
